text_si	depression_risk_si
මට හරිම දුකයි. බබා බලාගන්න හිතෙන්නෙ නෑ.	ඉහළ
මට energy තියෙනවා. අද දවස හොඳයි.	අඩු
ඇඩුම් එනවා වගේ දැනෙනවා. හැබැයි control කරනවා.	මධ්‍යස්ථ
කෑම හොඳට කෑවා. හිත සාමකාමීයි.	අඩු
මට හරිම දුකයි. බබා බලාගන්න හිතෙන්නෙ නෑ.	ඉහළ
කිසිම energy නැහැ. කිසිදේ කරන්න බෑ.	ඉහළ
මට හරිම දුකයි. බබා බලාගන්න හිතෙන්නෙ නෑ.	ඉහළ
හැමදාම ඇඬෙනවා. control කරන්න බෑ.	ඉහළ
අද මට සතුටුයි. බබා එක්ක හොඳට කාලය ගත කළා.	අඩු
කෑම හොඳට කෑවා. හිත සාමකාමීයි.	අඩු
ඥාතින් බලන්න ආවා. හොඳට කතා කළා.	අඩු
මට හරිම දුකයි. බබා බලාගන්න හිතෙන්නෙ නෑ.	ඉහළ
නින්ද නැහැ දවස් ගාණක්. mentally exhausted.	ඉහළ
කිසිම energy නැහැ. කිසිදේ කරන්න බෑ.	ඉහළ
තනිකම වැඩි වෙලා. බයයි හැමදේටම.	ඉහළ
ඇඩුම් එනවා වගේ දැනෙනවා. හැබැයි control කරනවා.	මධ්‍යස්ථ
කෑම appetite ටිකක් අඩුයි.	මධ්‍යස්ථ
සමහර වෙලාවට lonely feel වෙනවා.	මධ්‍යස්ථ
අද stress නැහැ. හැමදේම හොඳයි.	අඩු
මට energy තියෙනවා. අද දවස හොඳයි.	අඩු
බබා ගැන worry වෙනවා.	මධ්‍යස්ථ
ඇඩුම් එනවා වගේ දැනෙනවා. හැබැයි control කරනවා.	මධ්‍යස්ථ
අද stress නැහැ. හැමදේම හොඳයි.	අඩු
රෑට ටිකක් නින්ද අඩුයි. tired feel වෙනවා.	මධ්‍යස්ථ
බබා එක්ක සෙල්ලම් කළා. හොඳ දවසක්.	අඩු
අද හොඳට නිදාගත්තා. සතුටින් ඉන්නවා.	අඩු
කෑම appetite ටිකක් අඩුයි.	මධ්‍යස්ථ
සමහර වෙලාවට lonely feel වෙනවා.	මධ්‍යස්ථ
මට energy තියෙනවා. අද දවස හොඳයි.	අඩු
කෑම appetite ටිකක් අඩුයි.	මධ්‍යස්ථ
බබා එක්ක සෙල්ලම් කළා. හොඳ දවසක්.	අඩු
ඥාතින් බලන්න ආවා. හොඳට කතා කළා.	අඩු
සමහර වෙලාවට lonely feel වෙනවා.	මධ්‍යස්ථ
තනිකම වැඩි වෙලා. බයයි හැමදේටම.	ඉහළ
කෑම appetite ටිකක් අඩුයි.	මධ්‍යස්ථ
මට energy තියෙනවා. අද දවස හොඳයි.	අඩු
අද මට සතුටුයි. බබා එක්ක හොඳට කාලය ගත කළා.	අඩු
නින්ද නැහැ දවස් ගාණක්. mentally exhausted.	ඉහළ
